key,type,description,
mid,str,"mouse IDs, should be 6 digit number",
cid,int,"column IDs, range: [1, 5]", 
vid,int,"volume IDs, range: [1, 5]", 
date,int,"date of imaging session, yymmdd",
plane_n,str,"imaging plane name within the session, ""plane0"" ~ ""plane5""",
depth,float,"imaging depth below pia, in um",
roi_n,str,"roi name, ""roi_0000"", ""roi_0001"" ...",
lims_id,int,LIMS roi ID,
skew_raw,float,skewness of raw fluorescence trace,
skew_fil,float,skewness of high-passed fluorescnece trace,
is_valid,bool,"valid flag from LIMS, in almost all cases, use only valid rois",
roi_center_row,float,"roi center in rows, range [0, 512]",
roi_center_col,float,"roi_center in columns, range [0, 512]",
roi_area_um,float,roi_area in um^2,
dgcw_center_alt,float,"altitude of centered drifting granting, in visual degrees",
dgcw_center_azi,float,"azimuth of centered drifting granting, in visual degrees",
is_unique_x.x,bool,"if the roi is unique across adjancent imaging planes, ""x.x"" is the threshold of the correlation based clustering, should use 1.4.",
nan_in_trace,bool,"if there is nan in the whole trace, dff or events",
trace_min,float,"minimum value of the whole trace, dff or events",
trace_max,float,"maximum value of the whole trace, dff or events",
rf_on_alt,float,"altitude center of ON receptive field, in visual degrees",
rf_on_azi,float,"azimuth center of ON receptive field, in visual degrees",
rf_on_peak,float,"response peak of ON receptive field, in events or df/f",
rf_on_area,float,"area of ON receptive field, in square visual degrees",
rf_on_covered,float,"the overlaping area between ON receptive field and windowed drifting grating, in visual degree^2, only calculated for df/f",
rf_off_alt,float,"altitude center of OFF receptive field, in visual degrees",
rf_off_azi,float,"azimuth center of OFF receptive field, in visual degrees",
rf_off_peak,float,"response peak of OFF receptive field, in events or df/f",
rf_off_area,float,"area of OFF receptive field, in square visual degrees",
rf_off_covered,float,"the overlaping area between OFF receptive field and windowed drifting grating, in visual degree^2, only calculated for df/f",
dgcw_pref_diren,float,naïve preferred direction to windowed drifting grating,
dgcw_pref_sfn,float,naïve preferred spatial frequency to windowed drifting grating,
dgcw_respn,float,mean response to the naïve optimal condition of  windowed drifting grating,
dgcw_stdn,float,standard deviation of responses to the naïve optimal condition of  windowed drifting grating,
dgcw_vs_diren,float,naïve vector sum direction to windowed drifting grating,
dgcw_osin,float,naïve OSI to windowed drifting grating,
dgcw_gosin,float,naïve gOSI to windowed drifting grating,
dgcw_dsin,float,naïve DSI to windowed drifting grating,
dgcw_gdsin,float,naïve gDSI to windowed drifting grating,
dgcf_pref_diren,float,naïve preferred direction to fullfield drifting grating,
dgcf_pref_sfn,float,naïve preferred spatial frequency to fullfield drifting grating,
dgcf_respn,float,mean response to the naïve optimal condition of  fullfield drifting grating,
dgcf_stdn,float,standard deviation of responses to the naïve optimal condition of  fullfield drifting grating,
dgcf_vs_diren,float,naïve vector sum direction to fullfield drifting grating,
dgcf_osin,float,naïve OSI to fullfield drifting grating,
dgcf_gosin,float,naïve gOSI to fullfield drifting grating,
dgcf_dsin,float,naïve DSI to fullfield drifting grating,
dgcf_gdsin,float,naïve gDSI to fullfield drifting grating,
